PRODUCTO     ;DESCRIPCION                                       ;REFERENCIA                                                  ;CANTIDAD         ; PRECIO -001      ;COSTO             
0010001010422;SPLITTER 4 VIAS TRUE-SPEC                         ;010422                                                      ;1,00 ; $ 8.000 ;4.826,81 
0010001010424;SPLITTER 6 VIAS HOLLAND                           ;010424                                                      ;0,00 ; $ 9.100 ;0,00 
0010001010425;SPLITTER 6 VIAS FINO 5-15                         ;010425                                                      ;0,00 ; $ 7.500 ;0,00 
0010001010426;SPLITTER 6 VIAS TECH 5-2400 MHZ SP-1062           ;010426                                                      ;0,00 ; $ 17.000 ;0,00 
0010001010427;SPLITTER 6 VIAS TRUE-SPEC                         ;010427                                                      ;0,00 ; $ 19.500 ;0,00 
0010001010428;SPLITTER 8 VIAS                                   ;010428                                                      ;2,00 ; $ 7.700 ;10.154,09 
0010001010429;SPLITTER 8 VIAS FINO HOLLAND SP-10824             ;010429                                                      ;0,00 ; $ 12.500 ;0,00 
0010001010430;SPLITTER 8 VIAS FINO ES208                        ;010430                                                      ;25,00 ; $ 12.500 ;211.439,10 
0010001010431;SPLITTER 8 VIAS TECH 9-2400MHZ SP-10824           ;010431                                                      ;0,00 ; $ 16.500 ;0,00 
0010001010432;SPLITTER 8 VIAS TRUE-SPEC                         ;010432                                                      ;0,00 ; $ 18.000 ;0,00 
0010001010435;TAP 6 DB TRUE-SPEC                                ;010435                                                      ;0,00 ; $ 4.000 ;0,00 
0010001010438;TAP 7 DB                                          ;010438                                                      ;0,00 ; $ 1.500 ;0,00 
0010001010440;TAP 9 DB TRUE SPEC                                ;010440                                                      ;0,00 ; $ 7.000 ;0,00 
0010001010443;TAP 12 DB                                         ;010443                                                      ;0,00 ; $ 1.600 ;0,00 
0010001010444;TAP 12 DB TRUE-SPEC                               ;010444                                                      ;0,00 ; $ 7.000 ;0,00 
0010001010446;TAP 16 DB                                         ;010446                                                      ;0,00 ; $ 1.800 ;0,00 
0010001010447;TAP 16 DB TRUE-SPEC                               ;010447                                                      ;2,00 ; $ 3.600 ;4.195,78 
0010001010449;TAP 20 DB TRUE-SPEC                               ;010449                                                      ;0,00 ; $ 3.100 ;0,00 
0010001010450;TAP 20 DB                                         ;010450                                                      ;0,00 ; $ 1.800 ;0,00 
0010001010451;TAP 24 DB - 20DB                                  ;010451                                                      ;5,00 ; $ 1.800 ;5.970,00 
0010001010452;TAP 24 DB TRUE-SPEC                               ;010452                                                      ;5,00 ; $ 4.000 ;11.458,20 
0010001010453;TAP 123 DB C/SPLITTER 2 VIAS                      ;010453                                                      ;0,00 ; $ 1.800 ;0,00 
0010001010454;TAP 27  DB                                        ;010454                                                      ;17,00 ; $ 3.300 ;35.819,00 
0010001010456;TAP 30 DB                                         ;010456                                                      ;3,00 ; $ 3.300 ;6.366,00 
0010001010457;TAP DE COAXIAL PARA CAJA                          ;010457                                                      ;0,00 ; $ 200 ;0,00 
0010001010458;MULTITAP 411 4 X 17                               ;010458                                                      ;0,00 ; $ 39.000 ;0,00 
0010001010501;ATENUADOR PARA ANTENA                             ;010501                                                      ;0,00 ; $ 1.900 ;0,00 
0010001010502;CONECTOR TV 5                                     ;010502                                                      ;0,00 ; $ 600 ;0,00 
0010001010503;FILTRO PARA TV                                    ;010503                                                      ;8,00 ; $ 900 ;4.792,00 
0010001010504;PROTECTOR PARA TV RAYOS                           ;010504                                                      ;0,00 ; $ 5.000 ;0,00 
0010001010506;MARRANITO MIXTO                                   ;010506                                                      ;14,00 ; $ 1.500 ;14.925,00 
0010001010507;MARRANITO NEGRO HK 1251                           ;010507                                                      ;451,00 ; $ 700 ;172.460,39 
0010001010508;MARRANITO TOSHIBA BLANCO                          ;010508                                                      ;1,00 ; $ 200 ;130,00 
0010001010509;CAPUCHON PARA TABACO                              ;010509                                                      ;0,00 ; $ 100 ;0,00 
0010001010510;TABACO CUADRADO                                   ;010510                                                      ;0,00 ; $ 500 ;0,00 
0010001010511;TABACO DE INTERPERIE                              ;010511                                                      ;87,00 ; $ 2.500 ;77.834,50 
0010001010512;TABACO INTERNO BLANCO DORADO 4311                 ;010512                                                      ;16,00 ; $ 450 ;1.779,03 
0010001010513;TABACO INTERNO NEGRO 3701                         ;010513                                                      ;0,00 ; $ 850 ;0,00 
0010001010514;TOMA PARA ANTENA SIN TAPA                         ;010514                                                      ;0,00 ; $ 1.800 ;0,00 
0010001010601;RF TV-323  / TV-327 TECHMAN                       ;010601                                                      ;0,00 ; $ 19.570 ;0,00 
0010001010602;RF UNIVERSAL MAXLIN SB200                         ;010602                                                      ;0,00 ; $ 17.600 ;0,00 
0010001010603;RF LF008/ ZD-002                                  ;010603                                                      ;0,00 ; $ 13.600 ;0,00 
0010001010604;RF AV 5110                                        ;010604                                                      ;0,00 ; $ 45.000 ;0,00 
0010001010605;RF TECHMAN TV-324                                 ;010605                                                      ;1,00 ; $ 23.000 ;14.142,79 
0010001010606;RF PICO MACOM VSM-3/4S                            ;010606                                                      ;0,00 ; $ 27.500 ;0,00 
0010001010607;KIT TRNSMISOR RECEPTOR RF 100MTS                  ;010607                                                      ;0,00 ; $ 25.600 ;0,00 
0010001010700;SPLITTER HDMI + SWICHE 2X4 TEC-530                ;010700                                                      ;0,00 ; $ 92.000 ;0,00 
